ts_code	trade_date	close	turnover_rate	turnover_rate_f	volume_ratio	pe	pe_ttm	pb	ps	ps_ttm	dv_ratio	dv_ttm	total_share	float_share	free_share	total_mv	circ_mv
300595.SZ	20200525	49.8	1.0171	5.4036	0.75	98.4932	102.686	22.5874	46.7249	47.992	0.1039	0.1339	60695.802	43179.8481	8127.3629	3022650.9396	2150356.4354
300595.SZ	20200522	49.25	1.2968	6.8899	0.94	97.4054	101.552	22.338	46.2089	47.462	0.1051	0.1354	60695.802	43179.8481	8127.3629	2989268.2485	2126607.5189
300595.SZ	20200521	50.07	1.0912	5.7977	0.75	99.0272	103.2428	22.7099	46.9782	48.2522	0.1034	0.1331	60695.802	43179.8481	8127.3629	3039038.8061	2162014.9944
300595.SZ	20200520	50.09	2.1218	11.273	1.53	99.0668	103.284	22.719	46.997	48.2715	0.1033	0.1331	60695.802	43179.8481	8127.3629	3040252.7222	2162878.5913
300595.SZ	20200519	75.98	1.2954	6.8824	0.62	100.1809	104.4456	22.3002	47.5255	48.8143	0.1022		40463.868	28786.5654	5418.242	3074444.6906	2187203.2391
300595.SZ	20200518	75.6	2.1137	11.23	1.13	99.6799	103.9232	22.1886	47.2878	48.5702	0.1027		40463.868	28786.5654	5418.242	3059068.4208	2176264.3442
300595.SZ	20200515	72.8	2.1259	11.2947	1.27	95.988	100.0742	21.3668	45.5364	46.7713	0.1066	0.1066	40463.868	28786.5654	5418.242	2945769.5904	2095661.9611
300595.SZ	20200514	75.98	2.1696	11.527	1.5	100.1809	104.4456	22.3002	47.5255	48.8143	0.1022	0.1022	40463.868	28786.5654	5418.242	3074444.6906	2187203.2391
300595.SZ	20200513	74.86	2.7014	14.3478	2.25	98.7042	102.906	21.9714	46.825	48.0948	0.1037	0.1037	40463.868	28788.5929	5420.2695	3029125.1585	2155114.0645
300595.SZ	20200512	68.05	1.3007	6.9083	1.1	89.7251	93.5447	19.9727	42.5653	43.7196	0.1141	0.1141	40463.868	28788.5929	5420.2695	2753566.2174	1959063.7468
300595.SZ	20200511	66.56	1.0683	5.6738	0.86	87.7605	91.4964	19.5354	41.6333	42.7623	0.1166	0.1166	40463.868	28788.5929	5420.2695	2693275.0541	1916168.7434
300595.SZ	20200508	67.99	1.1321	6.0128	0.84	89.646	93.4622	19.9551	42.5278	43.6811	0.1142	0.1142	40463.868	28788.5929	5420.2695	2751138.3853	1957336.4313
300595.SZ	20200507	67.32	1.0092	5.3601	0.59	88.7626	92.5412	19.7584	42.1087	43.2506	0.1153	0.1153	40463.868	28788.5929	5420.2695	2724027.5938	1938048.074
300595.SZ	20200506	66.42	1.487	7.8978	0.94	87.5759	91.304	19.4943	41.5458	42.6724	0.1169	0.1169	40463.868	28788.5929	5420.2695	2687610.1126	1912138.3404
300595.SZ	20200430	65.86	1.2028	6.3886	0.8	86.8375	90.5342	19.3299	41.1955	42.3126	0.1179	0.1179	40463.868	28788.5929	5420.2695	2664950.3465	1896016.7284
